room_type,person_capacity,space_type,region,country,total_booked_nights,total_available_or_booked_nights,month
Entire home/apt,6,House,Southland,Lannisport,45.0,45.0,1/1/17
Private room,1,Apartment,Southland,King's Landing,36.0,45.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,6.0,1/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,126.0,157.0,1/1/17
Entire home/apt,16,House,Essos,Pike's Peak,5.0,20.0,1/1/17
Entire home/apt,5,Apartment,Hogwarts,Dragonstone,19.0,25.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,8.0,8.0,1/1/17
Entire home/apt,8,Apartment,Essos,Pike's Peak,19.0,21.0,1/1/17
Entire home/apt,3,House,Hogwarts,Crownland,18.0,25.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,22.0,32.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,29.0,32.0,1/1/17
Entire home/apt,4,Apartment,Southland,Dorne,85.0,157.0,1/1/17
Entire home/apt,2,Apartment,Westland,Westeros,24.0,24.0,1/1/17
Entire home/apt,4,Cabin,Westland,Westeros,21.0,25.0,1/1/17
Shared room,1,Apartment,Southland,King's Landing,45.0,162.0,1/1/17
Entire home/apt,5,House,Essos,Pike's Peak,10.0,16.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,15.0,26.0,1/1/17
Entire home/apt,2,Cabin,Southland,Dorne,40.0,130.0,1/1/17
Entire home/apt,6,Cabin,Westland,Springfield,15.0,32.0,1/1/17
Entire home/apt,3,Apartment,La La Land,Hornhill,18.0,30.0,1/1/17
Entire home/apt,2,Cabin,Southland,Dorne,45.0,162.0,1/1/17
Private room,1,House,Southland,King's Landing,40.0,63.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,9.0,20.0,1/1/17
Entire home/apt,10,House,Essos,Pike's Peak,19.0,23.0,1/1/17
Private room,2,House,Westland,Springfield,1.0,33.0,1/1/17
Entire home/apt,6,Apartment,Southland,Dorne,13.0,54.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,1.0,27.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,27.0,32.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,23.0,30.0,1/1/17
Private room,2,House,Westland,Springfield,17.0,20.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,19.0,32.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,5.0,33.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,10.0,15.0,1/1/17
Entire home/apt,6,Cabin,Westland,Springfield,11.0,14.0,1/1/17
Private room,1,House,Westland,Springfield,30.0,32.0,1/1/17
Private room,2,House,Westland,Westeros,12.0,28.0,1/1/17
Entire home/apt,3,Apartment,Essos,Pike's Peak,6.0,30.0,1/1/17
Entire home/apt,4,Apartment,Southland,River run,63.0,153.0,1/1/17
Entire home/apt,3,Apartment,Westland,Springfield,28.0,32.0,1/1/17
Entire home/apt,2,House,Westland,Westeros,12.0,26.0,1/1/17
Entire home/apt,3,Apartment,Essos,Pike's Peak,17.0,27.0,1/1/17
Private room,6,House,Westland,Westeros,6.0,28.0,1/1/17
Entire home/apt,5,Apartment,Essos,Pike's Peak,5.0,16.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,7.0,30.0,1/1/17
Entire home/apt,2,Cabin,Hogwarts,Dragonstone,4.0,20.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,1.0,30.0,1/1/17
Entire home/apt,10,Cabin,Westland,Springfield,3.0,17.0,1/1/17
Private room,2,House,Westland,Westeros,1.0,27.0,1/1/17
Private room,4,Cabin,Southland,King's Landing,13.0,135.0,1/1/17
Entire home/apt,10,Cabin,Westland,Springfield,3.0,14.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,6.0,25.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,20.0,30.0,1/1/17
Entire home/apt,4,House,Essos,Pike's Peak,15.0,24.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,3.0,12.0,1/1/17
Entire home/apt,14,House,Essos,Pike's Peak,6.0,24.0,1/1/17
Entire home/apt,7,Apartment,Essos,Pike's Peak,25.0,30.0,1/1/17
Entire home/apt,12,House,Westland,Westeros,3.0,3.0,1/1/17
Entire home/apt,10,House,Hogwarts,Dragonstone,24.0,31.0,1/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,3.0,5.0,1/1/17
Private room,1,House,Southland,Dorne,81.0,139.0,1/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,1.0,3.0,1/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,27.0,30.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,4.0,4.0,1/1/17
Entire home/apt,7,House,Westland,Springfield,10.0,32.0,1/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,7.0,15.0,1/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,9.0,72.0,1/1/17
Entire home/apt,9,Cabin,Westland,Springfield,6.0,32.0,1/1/17
Entire home/apt,10,Cabin,Westland,Springfield,8.0,32.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,4.0,13.0,1/1/17
Entire home/apt,3,Apartment,Southland,Lannisport,45.0,45.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,1.0,28.0,1/1/17
Entire home/apt,5,Cabin,Westland,Springfield,18.0,31.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,5.0,12.0,1/1/17
Entire home/apt,4,House,Southland,Dorne,45.0,112.0,1/1/17
Entire home/apt,8,Apartment,Westland,Springfield,12.0,33.0,1/1/17
Private room,2,Apartment,Southland,Dorne,81.0,117.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,19.0,31.0,1/1/17
Private room,2,House,Westland,Springfield,3.0,25.0,1/1/17
Private room,15,Cabin,Essos,Pike's Peak,5.0,30.0,1/1/17
Entire home/apt,2,Cabin,Hogwarts,Dragonstone,17.0,20.0,1/1/17
Entire home/apt,10,Cabin,Westland,Springfield,1.0,18.0,1/1/17
Entire home/apt,3,Apartment,Southland,Dorne,112.0,139.0,1/1/17
Entire home/apt,8,Cabin,Westland,Springfield,11.0,27.0,1/1/17
Entire home/apt,3,Cabin,Hogwarts,Dragonstone,22.0,32.0,1/1/17
Entire home/apt,2,Cabin,Hogwarts,Dragonstone,30.0,31.0,1/1/17
Entire home/apt,6,House,Hogwarts,Crownland,13.0,21.0,1/1/17
Private room,5,House,Westland,Springfield,1.0,33.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,28.0,31.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,12.0,15.0,1/1/17
Entire home/apt,3,Apartment,Southland,Dorne,130.0,162.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,25.0,33.0,1/1/17
Private room,2,Apartment,La La Land,Iron Islands,19.0,21.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,26.0,33.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,5.0,32.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,24.0,32.0,1/1/17
Entire home/apt,2,House,Essos,Bear Island,15.0,19.0,1/1/17
Entire home/apt,4,House,Westland,Westeros,21.0,21.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,7.0,21.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,7.0,27.0,1/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,8.0,16.0,1/1/17
Private room,4,House,Hogwarts,Crownland,22.0,22.0,1/1/17
Entire home/apt,10,Cabin,Westland,Springfield,2.0,33.0,1/1/17
Entire home/apt,3,Apartment,Southland,Dorne,27.0,157.0,1/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,16.0,24.0,1/1/17
Entire home/apt,8,House,Southland,King's Landing,22.0,126.0,1/1/17
Private room,2,House,Hogwarts,Dragonstone,2.0,27.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,19.0,28.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,7.0,32.0,1/1/17
Entire home/apt,6,House,Essos,Bear Island,4.0,28.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,25.0,31.0,1/1/17
Entire home/apt,10,House,Southland,King's Landing,4.0,162.0,1/1/17
Private room,4,Cabin,Westland,Springfield,2.0,31.0,1/1/17
Private room,3,Cabin,Westland,Springfield,6.0,24.0,1/1/17
Private room,5,Cabin,Westland,Springfield,27.0,32.0,1/1/17
Private room,2,House,Westland,Springfield,29.0,33.0,1/1/17
Private room,1,House,Westland,Springfield,2.0,8.0,1/1/17
Entire home/apt,8,Cabin,Westland,Springfield,4.0,5.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,16.0,31.0,1/1/17
Entire home/apt,4,Apartment,Westland,Westeros,27.0,27.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,0.0,0.0,1/1/17
Entire home/apt,4,Apartment,La La Land,Iron Islands,15.0,19.0,1/1/17
Entire home/apt,2,Cabin,Essos,Bear Island,3.0,19.0,1/1/17
Entire home/apt,1,Apartment,Southland,River run,139.0,157.0,1/1/17
Entire home/apt,2,Cabin,Southland,River run,103.0,157.0,1/1/17
Entire home/apt,10,Cabin,Essos,Pike's Peak,1.0,15.0,1/1/17
Entire home/apt,1,Cabin,Southland,Dorne,126.0,162.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,10.0,30.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,2.0,26.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,7.0,12.0,1/1/17
Entire home/apt,3,Cabin,Westland,Springfield,5.0,6.0,1/1/17
Private room,3,House,Westland,Springfield,12.0,33.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,17.0,19.0,1/1/17
Entire home/apt,5,House,Westland,Springfield,12.0,30.0,1/1/17
Private room,2,House,Westland,Springfield,18.0,30.0,1/1/17
Entire home/apt,24,House,Westland,Springfield,13.0,18.0,1/1/17
Entire home/apt,5,House,Westland,Springfield,8.0,25.0,1/1/17
Entire home/apt,7,House,Westland,Springfield,25.0,32.0,1/1/17
Entire home/apt,2,Apartment,Hogwarts,Dragonstone,23.0,32.0,1/1/17
Private room,2,House,Westland,Springfield,8.0,31.0,1/1/17
Entire home/apt,3,Apartment,Essos,Bear Island,4.0,4.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,16.0,30.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,21.0,21.0,1/1/17
Private room,4,Hotel,Westland,Springfield,7.0,26.0,1/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,40.0,126.0,1/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,7.0,20.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,18.0,33.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,27.0,29.0,1/1/17
Entire home/apt,6,House,Westland,Westeros,18.0,27.0,1/1/17
Entire home/apt,9,House,Westland,Springfield,5.0,15.0,1/1/17
Entire home/apt,8,Apartment,La La Land,Iron Islands,16.0,28.0,1/1/17
Entire home/apt,5,House,Westland,Springfield,10.0,15.0,1/1/17
Private room,2,Cabin,Southland,Lannisport,45.0,112.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,15.0,29.0,1/1/17
Entire home/apt,4,Cabin,Westland,Westeros,11.0,13.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,18.0,18.0,1/1/17
Entire home/apt,10,House,Southland,Lannisport,22.0,103.0,1/1/17
Entire home/apt,3,House,Westland,Westeros,0.0,9.0,1/1/17
Entire home/apt,8,Cabin,Hogwarts,Dragonstone,14.0,31.0,1/1/17
Entire home/apt,2,Apartment,Hogwarts,Dragonstone,19.0,19.0,1/1/17
Entire home/apt,4,House,Southland,Lannisport,81.0,130.0,1/1/17
Entire home/apt,2,Apartment,Southland,Dorne,72.0,135.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,8.0,33.0,1/1/17
Entire home/apt,3,Cabin,Essos,High Garden,2.0,17.0,1/1/17
Entire home/apt,8,House,Southland,Dorne,45.0,148.0,1/1/17
Entire home/apt,8,Apartment,Southland,Dorne,13.0,157.0,1/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,10.0,15.0,1/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,19.0,26.0,1/1/17
Entire home/apt,4,House,Southland,King's Landing,13.0,13.0,1/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,8.0,22.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,5.0,15.0,1/1/17
Entire home/apt,4,Cabin,Westland,Westeros,9.0,23.0,1/1/17
Entire home/apt,3,Cabin,Westland,Springfield,9.0,12.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,6.0,9.0,1/1/17
Entire home/apt,4,Apartment,La La Land,Hornhill,4.0,8.0,1/1/17
Entire home/apt,5,House,Westland,Springfield,8.0,30.0,1/1/17
Entire home/apt,14,House,Westland,Springfield,1.0,19.0,1/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,18.0,45.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,5.0,32.0,1/1/17
Entire home/apt,4,Apartment,Westland,Westeros,12.0,26.0,1/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,90.0,148.0,1/1/17
Entire home/apt,4,Cabin,Southland,Dorne,94.0,148.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,16.0,32.0,1/1/17
Private room,2,House,Westland,Springfield,1.0,32.0,1/1/17
Entire home/apt,2,Apartment,Southland,River run,130.0,157.0,1/1/17
Entire home/apt,2,Apartment,Westland,Westeros,1.0,27.0,1/1/17
Private room,2,House,Westland,Springfield,29.0,32.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,25.0,31.0,1/1/17
Entire home/apt,3,Cabin,Essos,Pike's Peak,20.0,25.0,1/1/17
Entire home/apt,8,Cabin,Westland,Springfield,18.0,28.0,1/1/17
Entire home/apt,3,Cabin,Hogwarts,Crownland,18.0,18.0,1/1/17
Entire home/apt,6,House,Hogwarts,Dragonstone,1.0,16.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,13.0,22.0,1/1/17
Entire home/apt,3,Apartment,Westland,Springfield,8.0,15.0,1/1/17
Entire home/apt,5,Apartment,Essos,Bear Island,1.0,24.0,1/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,10.0,29.0,1/1/17
Entire home/apt,15,House,Westland,Springfield,1.0,1.0,1/1/17
Entire home/apt,4,Apartment,Westland,Westeros,2.0,23.0,1/1/17
Entire home/apt,7,Apartment,Westland,Springfield,1.0,33.0,1/1/17
Entire home/apt,6,Cabin,Westland,Springfield,3.0,32.0,1/1/17
Entire home/apt,4,Cabin,Hogwarts,Crownland,20.0,28.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,10.0,18.0,1/1/17
Entire home/apt,2,Cabin,Southland,Dorne,130.0,153.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,11.0,21.0,1/1/17
Entire home/apt,5,Apartment,La La Land,Oldtown,17.0,30.0,1/1/17
Private room,1,Apartment,La La Land,Oldtown,26.0,31.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,23.0,32.0,1/1/17
Private room,2,House,Westland,Westeros,0.0,28.0,1/1/17
Entire home/apt,6,Apartment,Southland,Dorne,85.0,148.0,1/1/17
Entire home/apt,4,Apartment,Hogwarts,Dragonstone,17.0,31.0,1/1/17
Entire home/apt,8,Apartment,Essos,Pike's Peak,2.0,6.0,1/1/17
Private room,2,House,Southland,River run,112.0,157.0,1/1/17
Private room,2,House,Hogwarts,Crownland,20.0,21.0,1/1/17
Entire home/apt,6,Cabin,Essos,Pike's Peak,18.0,23.0,1/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,72.0,121.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,10.0,23.0,1/1/17
Entire home/apt,2,Apartment,Essos,Bear Island,15.0,15.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,1.0,32.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,4.0,28.0,1/1/17
Entire home/apt,10,House,Westland,Springfield,13.0,33.0,1/1/17
Entire home/apt,4,Apartment,Essos,Pike's Peak,13.0,20.0,1/1/17
Private room,2,Cabin,Westland,Springfield,9.0,10.0,1/1/17
Entire home/apt,10,Apartment,Westland,Springfield,1.0,32.0,1/1/17
Entire home/apt,6,House,Southland,Dorne,31.0,112.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,30.0,33.0,1/1/17
Entire home/apt,6,Cabin,Westland,Springfield,1.0,20.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,13.0,29.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,29.0,32.0,1/1/17
Private room,2,Apartment,Essos,Bear Island,13.0,26.0,1/1/17
Entire home/apt,4,Apartment,Southland,Dorne,81.0,135.0,1/1/17
Entire home/apt,5,Apartment,Hogwarts,Dragonstone,27.0,30.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,15.0,33.0,1/1/17
Entire home/apt,14,Apartment,Essos,Pike's Peak,29.0,31.0,1/1/17
Entire home/apt,6,House,Hogwarts,Dragonstone,28.0,32.0,1/1/17
Private room,2,Cabin,Essos,Bear Island,15.0,28.0,1/1/17
Entire home/apt,8,House,Essos,Pike's Peak,23.0,26.0,1/1/17
Private room,2,Cabin,La La Land,Iron Islands,18.0,18.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,17.0,29.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,8.0,28.0,1/1/17
Entire home/apt,3,Cabin,Westland,Springfield,1.0,14.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,4.0,5.0,1/1/17
Entire home/apt,3,Apartment,Hogwarts,Crownland,28.0,28.0,1/1/17
Entire home/apt,2,Apartment,Southland,Lannisport,126.0,126.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,12.0,30.0,1/1/17
Entire home/apt,4,House,Westland,Springfield,13.0,14.0,1/1/17
Private room,6,House,Essos,Pike's Peak,10.0,29.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,17.0,25.0,1/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,26.0,26.0,1/1/17
Entire home/apt,4,Apartment,Westland,Westeros,27.0,27.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,13.0,33.0,1/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,16.0,27.0,1/1/17
Entire home/apt,3,Cabin,Westland,Springfield,4.0,25.0,1/1/17
Private room,3,House,Westland,Westeros,7.0,28.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,10.0,27.0,1/1/17
Entire home/apt,4,Apartment,Southland,King's Landing,27.0,157.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,15.0,19.0,1/1/17
Entire home/apt,2,Cabin,Southland,Dorne,13.0,121.0,1/1/17
Entire home/apt,2,House,Hogwarts,Dragonstone,17.0,19.0,1/1/17
Entire home/apt,4,House,Westland,Westeros,25.0,27.0,1/1/17
Private room,1,House,Westland,Springfield,21.0,30.0,1/1/17
Entire home/apt,4,Apartment,Southland,Dorne,90.0,148.0,1/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,4.0,30.0,1/1/17
Entire home/apt,2,House,Essos,Bear Island,12.0,22.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,10.0,10.0,1/1/17
Entire home/apt,10,House,Essos,Pike's Peak,11.0,23.0,1/1/17
Entire home/apt,12,House,Westland,Springfield,4.0,19.0,1/1/17
Entire home/apt,2,Apartment,Southland,Lannisport,108.0,108.0,1/1/17
Entire home/apt,5,Apartment,Essos,High Garden,4.0,10.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,26.0,31.0,1/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,16.0,24.0,1/1/17
Entire home/apt,2,House,La La Land,Iron Islands,29.0,30.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,6.0,12.0,1/1/17
Private room,2,Apartment,Westland,Springfield,5.0,28.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,0.0,1.0,1/1/17
Private room,2,House,Westland,Springfield,20.0,27.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,26.0,31.0,1/1/17
Entire home/apt,6,Apartment,Essos,Pike's Peak,14.0,24.0,1/1/17
Entire home/apt,6,Apartment,Essos,Bear Island,2.0,24.0,1/1/17
Entire home/apt,4,Apartment,Essos,Winterfell,20.0,25.0,1/1/17
Entire home/apt,2,Apartment,Southland,King's Landing,108.0,157.0,1/1/17
Entire home/apt,5,Apartment,Southland,Dorne,9.0,157.0,1/1/17
Entire home/apt,3,Apartment,Southland,Lannisport,130.0,130.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,15.0,28.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,3.0,13.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,20.0,33.0,1/1/17
Entire home/apt,3,Apartment,Westland,Springfield,26.0,32.0,1/1/17
Private room,3,Apartment,La La Land,Iron Islands,19.0,29.0,1/1/17
Entire home/apt,10,House,Essos,Bear Island,13.0,16.0,1/1/17
Entire home/apt,6,Cabin,Westland,Springfield,10.0,28.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,12.0,14.0,1/1/17
Entire home/apt,4,Apartment,Westland,Westeros,4.0,25.0,1/1/17
Private room,2,Apartment,Westland,Springfield,13.0,18.0,1/1/17
Private room,3,Cabin,Essos,Pike's Peak,0.0,30.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,14.0,23.0,1/1/17
Entire home/apt,2,Apartment,Essos,Pike's Peak,24.0,24.0,1/1/17
Entire home/apt,5,Apartment,La La Land,Oldtown,18.0,30.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,7.0,33.0,1/1/17
Entire home/apt,16,House,Westland,Springfield,7.0,32.0,1/1/17
Entire home/apt,6,Apartment,Westland,Springfield,21.0,31.0,1/1/17
Private room,4,Cabin,Westland,Springfield,21.0,26.0,1/1/17
Entire home/apt,2,Apartment,La La Land,Iron Islands,28.0,30.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,16.0,20.0,1/1/17
Entire home/apt,7,House,Westland,Springfield,24.0,30.0,1/1/17
Entire home/apt,5,Cabin,Westland,Springfield,9.0,32.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,1.0,3.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,22.0,30.0,1/1/17
Private room,3,Cabin,La La Land,Tarth,12.0,31.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,26.0,32.0,1/1/17
Entire home/apt,5,Apartment,Essos,High Garden,3.0,14.0,1/1/17
Entire home/apt,3,Cabin,Westland,Springfield,30.0,32.0,1/1/17
Private room,2,Apartment,La La Land,Iron Islands,4.0,29.0,1/1/17
Entire home/apt,4,Apartment,La La Land,Iron Islands,27.0,30.0,1/1/17
Entire home/apt,2,Cabin,Hogwarts,Crownland,3.0,5.0,1/1/17
Entire home/apt,10,Apartment,Essos,Pike's Peak,8.0,11.0,1/1/17
Entire home/apt,5,Apartment,Westland,Springfield,3.0,26.0,1/1/17
Entire home/apt,4,Apartment,Essos,Bear Island,0.0,18.0,1/1/17
Entire home/apt,2,Cabin,Westland,Springfield,16.0,29.0,1/1/17
Entire home/apt,2,Apartment,Southland,Dorne,18.0,31.0,1/1/17
Entire home/apt,8,House,Westland,Springfield,1.0,32.0,1/1/17
Entire home/apt,8,Apartment,La La Land,Oldtown,27.0,38.0,1/1/17
Private room,4,House,Essos,Bear Island,1.0,27.0,1/1/17
Entire home/apt,6,House,Southland,King's Landing,9.0,157.0,1/1/17
Entire home/apt,2,House,Essos,Bear Island,27.0,27.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,15.0,32.0,1/1/17
Entire home/apt,5,Apartment,Essos,High Garden,13.0,31.0,1/1/17
Hotel room,8,Hotel,Essos,Pike's Peak,4.0,26.0,1/1/17
Entire home/apt,3,Apartment,Southland,King's Landing,13.0,162.0,1/1/17
Entire home/apt,2,Cabin,Essos,Bear Island,26.0,26.0,1/1/17
Private room,3,Apartment,Essos,Pike's Peak,1.0,6.0,1/1/17
Private room,4,House,Essos,Bear Island,6.0,21.0,1/1/17
Entire home/apt,8,Apartment,Southland,Dorne,4.0,58.0,1/1/17
Private room,2,Cabin,Essos,Bear Island,0.0,12.0,1/1/17
Entire home/apt,8,House,Hogwarts,Dragonstone,4.0,31.0,1/1/17
Entire home/apt,5,Apartment,Essos,Bear Island,1.0,29.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,26.0,31.0,1/1/17
Entire home/apt,6,House,Southland,River run,9.0,148.0,1/1/17
Entire home/apt,16,Cabin,Westland,Springfield,9.0,23.0,1/1/17
Entire home/apt,6,House,Westland,Springfield,13.0,15.0,1/1/17
Entire home/apt,4,House,La La Land,Iron Islands,1.0,10.0,1/1/17
Entire home/apt,15,House,Essos,Pike's Peak,16.0,24.0,1/1/17
Entire home/apt,6,Cabin,Westland,Springfield,11.0,30.0,1/1/17
Entire home/apt,2,Apartment,Westland,Springfield,12.0,29.0,1/1/17
Private room,2,Cabin,Southland,Dorne,36.0,99.0,1/1/17
Entire home/apt,4,Cabin,Westland,Springfield,23.0,32.0,1/1/17
Private room,2,Apartment,Westland,Springfield,11.0,23.0,1/1/17
Entire home/apt,4,Apartment,Westland,Springfield,17.0,32.0,1/1/17
